ID,CLASS
210,1.0
211,1.0
212,0.0
213,0.0
214,0.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,0.0
221,1.0
222,1.0
223,0.0
224,0.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,0.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,0.0
240,1.0
241,1.0
242,0.0
243,1.0
244,1.0
245,1.0
246,1.0
247,0.0
248,1.0
249,1.0
250,1.0
251,1.0
252,0.0
253,1.0
254,1.0
255,1.0
256,0.0
257,1.0
258,1.0
259,1.0
260,1.0
261,0.0
262,1.0
263,1.0
264,0.0
265,0.0
266,1.0
267,1.0
268,0.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,1.0
282,1.0
283,1.0
284,0.0
285,1.0
286,1.0
287,0.0
288,1.0
289,1.0
290,1.0
291,1.0
292,0.0
293,0.0
294,0.0
295,1.0
296,0.0
297,0.0
298,0.0
299,1.0
300,1.0
301,1.0
302,1.0
303,0.0
304,1.0
305,1.0
306,0.0
307,0.0
308,0.0
309,1.0
310,1.0
311,1.0
312,0.0
313,1.0
